k,model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
15,knn,0.7861904761904761,0.054863260240921134,0.8271083924781755,0.040486478591002975,0.9075000000000001,0.047856040551679066,0.42000000000000004,0.1713994684290992,0.8644736629717149,0.03381101950346196,0.7053425925925927,0.11926324218389334
15,decision_tree,0.7337301587301587,0.09033353415144484,0.8274632821833265,0.04242092809031402,0.8134722222222223,0.10072662321083135,0.4933333333333333,0.10832051206181278,0.8185817721344402,0.06742126979676347,0.6534027777777778,0.08875882954687302
15,random_forest,0.8111111111111111,0.04811252243246882,0.8367081413707929,0.042802006106878544,0.9340277777777779,0.04809347412161469,0.44000000000000006,0.16918103387266029,0.88141344693338,0.029523293795011136,0.7755648148148149,0.1133455002092958
15,gradient_boosting,0.807936507936508,0.05169829329732642,0.8441158251331722,0.041960997492420715,0.9163888888888889,0.055367041272396514,0.48,0.16275407487644936,0.87737904141579,0.033182209176320754,0.7749722222222222,0.10096029019111054
15,xgboost,0.7961904761904762,0.04304456373481071,0.8396148618723858,0.04024949289781392,0.9052777777777777,0.060021215385031114,0.4666666666666666,0.16865480854231354,0.869298300658134,0.028279502919644293,0.7820092592592592,0.10651247576289496
20,naive_bayes,0.7569047619047619,0.0939885287543909,0.8672003928301469,0.0640758626256325,0.8047222222222222,0.11999260522483032,0.6133333333333333,0.22070593809662464,0.8290661569921495,0.07391638644939799,0.7986203703703705,0.09061244189514084
20,knn,0.7761904761904762,0.06641961025066573,0.8159147600295927,0.04695906132217992,0.9095833333333333,0.05184277781052161,0.37333333333333335,0.18184242262647807,0.8593522065710104,0.040832498044824736,0.6963287037037037,0.13155872478365305
20,decision_tree,0.7396031746031746,0.05168421909443309,0.8222401458100215,0.04445205150280744,0.8368055555555556,0.044933292463438926,0.44666666666666666,0.15790292376436013,0.8284058709291532,0.03314802819721712,0.6417361111111111,0.0818740575763309
20,random_forest,0.8161111111111111,0.056625802259053955,0.8413345454411634,0.04561726461390124,0.9341666666666667,0.04862380786567446,0.4600000000000001,0.17499206331208916,0.8842778430607318,0.03552467560216562,0.7741203703703703,0.11038102150010848
20,gradient_boosting,0.8015079365079364,0.06282030546354925,0.8287788188260532,0.04382474580496235,0.93,0.05489608589793611,0.4133333333333334,0.16546231527987806,0.8755367856871616,0.03952229085355475,0.775175925925926,0.10280413784419147
20,xgboost,0.7913492063492062,0.04529716277433261,0.8367793581239817,0.03997032220977042,0.9011111111111111,0.05408041566061314,0.4600000000000001,0.15620499351813308,0.8662309430635418,0.028894516687232936,0.7863425925925926,0.08919891199964516
30,naive_bayes,0.7519047619047619,0.10309166385534081,0.8636327344721684,0.06058072701432602,0.8002777777777776,0.1314710807049535,0.6066666666666667,0.20752509888364506,0.8242779908001898,0.08109917378806086,0.8042222222222222,0.1019857974458132
30,knn,0.7596031746031746,0.05645468553870773,0.8114360933999396,0.04396712011752228,0.8897222222222222,0.053229789533936374,0.36666666666666664,0.18196458751941574,0.8474802945070833,0.03611959335519064,0.7049074074074074,0.11596110133712777
30,decision_tree,0.7313492063492063,0.04374628804034858,0.8208878837423835,0.03122422399087089,0.8233333333333333,0.054535071963591225,0.45333333333333325,0.11850925889754117,0.8209104228754317,0.03317692884829153,0.6383333333333333,0.05839679088087964
30,random_forest,0.8228571428571427,0.05972537301186067,0.8461225102027425,0.05540472043722343,0.9408333333333333,0.06034941979121093,0.4666666666666666,0.22110831935702666,0.8887784518204092,0.037235246999094467,0.7836712962962964,0.11340579195830941
30,gradient_boosting,0.812936507936508,0.055141369884266815,0.8400024471165664,0.04832302881881739,0.9322222222222223,0.05078397725345084,0.4533333333333333,0.18330302779823363,0.8822993285191121,0.03465023282254481,0.7896203703703705,0.10521687422040872
30,xgboost,0.8213492063492064,0.0658600580102893,0.84817220570716,0.04872943039359156,0.9322222222222223,0.06600598551235175,0.48666666666666664,0.18390818965511627,0.886541440034072,0.043210663342436555,0.8004722222222223,0.09719144530495673
50,naive_bayes,0.7702380952380953,0.10096613787667835,0.8627979112050023,0.06806059845264975,0.8290277777777778,0.1030560235089705,0.5933333333333333,0.22,0.8423552647190695,0.07295342002296791,0.7783425925925926,0.11021604337582223
50,knn,0.7686507936507936,0.08417657268662594,0.8162007314027819,0.043166962196307,0.8931944444444444,0.08909795292850102,0.39333333333333337,0.15040685563571304,0.8514374362550654,0.05907725485146472,0.7231203703703704,0.0988434669056656
50,decision_tree,0.7235714285714285,0.07160652436102286,0.8159698333788692,0.052853795479185985,0.8223611111111111,0.08577994114284022,0.42666666666666664,0.21333333333333332,0.8158433360964878,0.05147411701911179,0.6245138888888889,0.10382817689027399
50,random_forest,0.8131746031746031,0.0574706208424367,0.8429606577521053,0.05273988984872651,0.9301388888888888,0.06568152327709827,0.4600000000000001,0.21592179654268862,0.881971934475273,0.03677135355203116,0.7755648148148149,0.10932496807868121
50,gradient_boosting,0.8078571428571429,0.05821465088988588,0.8375221790079213,0.054421069433799193,0.929861111111111,0.04991215276690799,0.4400000000000001,0.21746008573733452,0.879477205512749,0.03502363037091419,0.7998611111111111,0.10341021010276476
50,xgboost,0.8048412698412699,0.06130709657701096,0.8407970258687477,0.046267218947944166,0.9169444444444445,0.06371292192132681,0.4666666666666667,0.17638342073763935,0.8755971414599504,0.04006234976519708,0.7971111111111111,0.1044536113655132
100,naive_bayes,0.7636507936507936,0.09914906282516284,0.8696395290535257,0.06866373740019951,0.8091666666666667,0.09694444444444444,0.6266666666666667,0.20912516188477495,0.8355280147041165,0.0728579050193895,0.7572685185185185,0.12203465721559754
100,knn,0.7582539682539683,0.07050031762042282,0.8242513847338644,0.05273162291568021,0.8684722222222222,0.08867171821449674,0.42666666666666664,0.20264912204760885,0.8422719307800624,0.0492475675146658,0.6888657407407408,0.09661346283583717
100,decision_tree,0.7304761904761905,0.080978987224354,0.8172409271802223,0.04553412701056863,0.8269444444444444,0.09820966800111325,0.44000000000000006,0.15260697523012795,0.8194336367151637,0.06226222705572423,0.6334722222222222,0.08897662770513262
100,random_forest,0.8115079365079364,0.06266851808911726,0.8398855710866722,0.0557682829105646,0.9323611111111111,0.06148261447528114,0.44666666666666666,0.22519127672072717,0.8815613936652346,0.03918050417597744,0.7776666666666667,0.11517697362655563
