k,model,class,precision,recall,f1_score,support
20,decision_tree,PD,0.8203463203463204,0.8366445916114791,0.8284153005464481,453.0
20,random_forest,Healthy,0.696969696969697,0.46,0.5542168674698795,150.0
20,random_forest,PD,0.8392857142857143,0.9337748344370861,0.8840125391849529,453.0
20,gradient_boosting,Healthy,0.6595744680851063,0.41333333333333333,0.5081967213114754,150.0
20,gradient_boosting,PD,0.8271119842829077,0.9293598233995585,0.8752598752598753,453.0
20,xgboost,Healthy,0.6052631578947368,0.46,0.5227272727272727,150.0
20,xgboost,PD,0.8343558282208589,0.9006622516556292,0.8662420382165605,453.0
30,naive_bayes,Healthy,0.5,0.6066666666666667,0.5481927710843374,150.0
30,naive_bayes,PD,0.8598574821852731,0.7991169977924945,0.8283752860411899,453.0
30,knn,Healthy,0.5238095238095238,0.36666666666666664,0.43137254901960786,150.0
30,knn,PD,0.8092369477911646,0.8896247240618101,0.8475289169295478,453.0
30,decision_tree,Healthy,0.4594594594594595,0.4533333333333333,0.4563758389261745,150.0
30,decision_tree,PD,0.8197802197802198,0.8233995584988962,0.8215859030837004,453.0
30,random_forest,Healthy,0.7216494845360825,0.4666666666666667,0.5668016194331984,150.0
30,random_forest,PD,0.841897233201581,0.9403973509933775,0.8884254431699687,453.0
30,gradient_boosting,Healthy,0.6868686868686869,0.4533333333333333,0.5461847389558233,150.0
30,gradient_boosting,PD,0.8373015873015873,0.9315673289183223,0.8819226750261233,453.0
30,xgboost,Healthy,0.7019230769230769,0.4866666666666667,0.5748031496062992,150.0
30,xgboost,PD,0.845691382765531,0.9315673289183223,0.8865546218487395,453.0
50,naive_bayes,Healthy,0.5329341317365269,0.5933333333333334,0.5615141955835962,150.0
50,naive_bayes,PD,0.8600917431192661,0.8278145695364238,0.843644544431946,453.0
50,knn,Healthy,0.5462962962962963,0.3933333333333333,0.4573643410852713,150.0
50,knn,PD,0.8161616161616162,0.891832229580574,0.8523206751054853,453.0
50,decision_tree,Healthy,0.4413793103448276,0.4266666666666667,0.43389830508474575,150.0
50,decision_tree,PD,0.8122270742358079,0.8211920529801324,0.8166849615806806,453.0
